"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\tomma\Dev\MediaLibrary\src\items\AbstractItem.cpp", "C++", 40, 0, 8, 48
"c:\Users\tomma\Dev\MediaLibrary\src\items\AbstractItem.h", "C++", 33, 0, 1, 34
"c:\Users\tomma\Dev\MediaLibrary\src\items\Books.cpp", "C++", 24, 0, 5, 29
"c:\Users\tomma\Dev\MediaLibrary\src\items\Books.h", "C++", 19, 0, 1, 20
"c:\Users\tomma\Dev\MediaLibrary\src\items\Comic.cpp", "C++", 18, 0, 5, 23
"c:\Users\tomma\Dev\MediaLibrary\src\items\Comic.h", "C++", 16, 0, 3, 19
"c:\Users\tomma\Dev\MediaLibrary\src\items\ItemVisitor.h", "C++", 18, 0, 2, 20
"c:\Users\tomma\Dev\MediaLibrary\src\items\Videogames.cpp", "C++", 18, 0, 8, 26
"c:\Users\tomma\Dev\MediaLibrary\src\items\Videogames.h", "C++", 16, 0, 2, 18
"c:\Users\tomma\Dev\MediaLibrary\src\items\album.cpp", "C++", 24, 0, 14, 38
"c:\Users\tomma\Dev\MediaLibrary\src\items\album.h", "C++", 19, 0, 2, 21
"c:\Users\tomma\Dev\MediaLibrary\src\items\movie.cpp", "C++", 31, 0, 14, 45
"c:\Users\tomma\Dev\MediaLibrary\src\items\movie.h", "C++", 22, 0, 3, 25
"c:\Users\tomma\Dev\MediaLibrary\src\jsonXml\JsonReader.cpp", "C++", 27, 0, 5, 32
"c:\Users\tomma\Dev\MediaLibrary\src\jsonXml\JsonReader.h", "C++", 20, 0, 1, 21
"c:\Users\tomma\Dev\MediaLibrary\src\jsonXml\JsonVisitor.cpp", "C++", 75, 0, 6, 81
"c:\Users\tomma\Dev\MediaLibrary\src\jsonXml\JsonVisitor.h", "C++", 21, 0, 2, 23
"c:\Users\tomma\Dev\MediaLibrary\src\jsonXml\JsonWriter.cpp", "C++", 18, 0, 3, 21
"c:\Users\tomma\Dev\MediaLibrary\src\jsonXml\JsonWriter.h", "C++", 11, 0, 0, 11
